Id,Category,SubCategory,Product,Price,Store,Notes
3409,BEAUTY,,"Scrunchies, 6pk",$5.00,Kohl's,
3410,BEAUTY,,Serene House Eclipse Essential Oil Diffuser,$16.99,Kohl's,
3411,BEAUTY,,Sonicare 2 Series Plaque Control Dual Handle Electric Toothbrush,$39.49,Kohl's,
3412,BEAUTY,,Sonicare DiamondClean Classic Rechargeable Electric Toothbrush,$81.24,Kohl's,
3413,BEAUTY,,Sonicare Essence Rechargeable Toothbrush,$16.99,Kohl's,
3414,BEAUTY,,The Color Institute Color Delights 61pc Beauty Train Case,$20.00,Kohl's,
3415,BEAUTY,,Waterpik Sonic Fusion Flossing Toothbrush,$81.99,Kohl's,
3416,BEAUTY,,Waterpik Ultra Cordless Plus Water Flosser,$46.74,Kohl's,
3417,BEAUTY,,Waterpik Ultra Water Flosser,$46.74,Kohl's,
3418,BEAUTY,,"Wet Brush & Comb Gift Sets, Select Styles",$10 & Under,Kohl's,
4030,BEAUTY,,25 Days of Beauty Advent Calender,$64.50,Macy's,
4031,BEAUTY,,Anastasia Beverly Hill Glow Kits,40% Off,Macy's,
4032,BEAUTY,,Anastasis Beverly Hills Liquid Glow,40% Off,Macy's,
4033,BEAUTY,,"Azzaro Chrome Limited Edition, 3.4oz Eau de Toilette",$25.00,Macy's,
4034,BEAUTY,,BareMinerals Glisten Up,$10.00,Macy's,
4035,BEAUTY,,Beautyblender Best Friends Set,$20.00,Macy's,
4036,BEAUTY,,Bella Vince Camuto 3pc Set,$25.00,Macy's,
4037,BEAUTY,,Benefit Beauty Jackpot Mascara & Brow Gel Duo,$10.00,Macy's,
4038,BEAUTY,,Bobbi Brown Fever Dream Eye Palette,$20.00,Macy's,
4039,BEAUTY,,Bobbi Brown Overnighter Set,$20.00,Macy's,
4040,BEAUTY,,"Burberry Brit for Her, 1oz Eau de Parfum",$25.00,Macy's,
4041,BEAUTY,,"Burberry Touch, 1oz Eau de Toilette",$25.00,Macy's,
4042,BEAUTY,,Calvin Klein 4pc Men's Coffret,$25.00,Macy's,
4043,BEAUTY,,Calvin Klein Euphoria Eau de Toilette 3.4oz,$98.00,Macy's,
4044,BEAUTY,,Calvin Klein Women's 4pc Coffret,$25.00,Macy's,
4045,BEAUTY,,Carolina Herrera Good Girl 2.7oz,$117.00,Macy's,
4046,BEAUTY,,Catherine Malandrino 3pc Set,$25.00,Macy's,
4047,BEAUTY,,Caudalie Winter Duo,$10.00,Macy's,
4048,BEAUTY,,Clinique 3-Step Set,$49.50,Macy's,
4049,BEAUTY,,Clinique Happy Mini Spray Trio,$10.00,Macy's,
4050,BEAUTY,,Clinique Kisses 5 Dramatically Different Lipstick Shaping Lip Colours,$20.00,Macy's,
4051,BEAUTY,,Clinique Twinkle Trio for Eyes & Cheeks,$20.00,Macy's,
4052,BEAUTY,,Clinique's Best & Brightest Collection,$49.50,Macy's,
4053,BEAUTY,,Coach Floral Eau de Parfum 3oz,$100.00,Macy's,
4054,BEAUTY,,Daisy Marc Jacobs Eau de Toilette 3.4oz,$106.00,Macy's,
4055,BEAUTY,,"Davidoff Cool Water, 1.4oz Eau de Toilette",$25.00,Macy's,
4056,BEAUTY,,DKNY Be Delicious Mini Coffret,$25.00,Macy's,
4057,BEAUTY,,Dolce & Gabanna Light Blue Eau de Toilette 3.3oz,$102.00,Macy's,
4058,BEAUTY,,Dolce & Gabbana Light Blue Eau de Toilette 4.2oz,$88.00,Macy's,
4059,BEAUTY,,Donna Karan Cashmere Mist 3pc Rollerball Set,$25.00,Macy's,
4060,BEAUTY,,Dream Aroma Diffusers,$19.99,Macy's,
4061,BEAUTY,,Elizabeth Arden Bright Lights Holiday Collection,$67.00,Macy's,
4062,BEAUTY,,Elizabeth Arden Party Ready Lips,$20.00,Macy's,
4063,BEAUTY,,English Laundry Tahitian Waters 3pc Set,$25.00,Macy's,
4064,BEAUTY,,Estee Lauder Gloss Coffret,$20.00,Macy's,
4065,BEAUTY,,Estee Lauder Pleasures Captivating Duet,$25.00,Macy's,
4066,BEAUTY,,Glitterati Culture 21 Pan Eyeshadow Palette,$10.00,Macy's,
4067,BEAUTY,,Glitterati Culture 4pc Essentials Eyeliner Set,$15.00,Macy's,
4068,BEAUTY,,Glitterati Culture 5pc Lip Gloss,$10.00,Macy's,
4069,BEAUTY,,Glitterati Culture 5pc Liquid Lipstick Set,$10.00,Macy's,
4070,BEAUTY,,Glitterati Culture 6pc Travel Brush Set,$10.00,Macy's,
4071,BEAUTY,,Glitterati Culture 7pc Brush Sets,$24.50,Macy's,
4072,BEAUTY,,Glitterati Culture Face & Eyeshadow Palette,$17.00,Macy's,
4073,BEAUTY,,Gucci Guilty Pour Homme Eau de Toilette 3oz,$92.00,Macy's,
4074,BEAUTY,,Homedics Foot Bath,$8.99,Macy's,
4075,BEAUTY,,Homedics Neck & Shoulder Massager with Heat,$8.99,Macy's,
4076,BEAUTY,,Homedics Shiatsu Air Max Heated Foot Massage,$67.99,Macy's,
4077,BEAUTY,,Homedics Shiatsu Plus Massage Cushion with Heat,$67.99,Macy's,
4078,BEAUTY,,Homedics Travel Kits,$19.99,Macy's,
4079,BEAUTY,,"Hugo Boss Man, 1.4oz Eau de Toilette",$25.00,Macy's,
